265	1	3.000000	266	22	1
265	3	6.268930	149	19	0
265	3	6.822228	54	20	0
265	4	0.664277	135	20	0
265	3	5.434329	256	20	0
265	7	3.058666	178	21	0
265	5	4.041195	133	22	0
265	8	8.403157	384	23	0
265	9	11.259876	163	0	2
114	1	4.500000	136	22	1
114	1	6.612514	323	15	0
114	4	5.826395	134	27	0
114	5	0.161089	191	18	0
114	3	4.419459	184	20	0
114	6	10.316218	108	18	0
114	8	0.609192	119	13	0
114	8	0.036218	167	19	0
114	9	5.881640	179	26	0
114	10	8.251431	303	0	2
31	1	6.500000	146	21	1
31	2	3.818006	157	23	0
31	1	3.432076	168	25	0
31	5	1.435745	354	27	0
31	6	2.474005	179	23	0
31	8	2.881843	229	14	0
31	10	4.588018	218	23	0
31	11	3.476460	73	19	0
31	10	6.069024	100	22	0
31	12	1.363828	139	20	0
31	13	0.295537	152	20	0
31	14	3.497085	142	26	0
31	15	0.891898	126	0	2
151	1	5.000000	230	24	1
151	2	3.562483	109	16	0
151	2	6.702064	351	15	0
151	6	0.761195	107	17	0
151	4	2.459048	198	23	0
151	7	3.443060	110	18	0
151	7	7.358069	108	16	0
151	8	2.178754	123	22	0
151	9	5.545372	197	18	0
151	11	0.175430	170	36	0
151	12	3.835074	97	13	0
151	12	5.530884	82	0	2
389	1	2.500000	225	16	1
389	1	0.235644	128	22	0
389	4	3.723702	193	16	0
389	1	3.467473	99	23	0
389	1	0.948061	259	17	0
389	3	4.610866	141	19	0
389	3	7.689883	133	25	0
389	7	2.693515	227	23	0
389	5	3.783713	144	15	0
389	6	7.410391	254	17	0
389	9	2.999123	182	19	0
389	9	1.063674	62	12	0
389	9	3.910811	179	20	0
389	11	5.984458	30	0	2
330	1	5.000000	471	22	1
330	2	2.892026	104	17	0
330	2	4.863261	671	26	0
330	5	1.247481	149	16	0
330	6	5.139596	182	22	0
330	6	2.334947	300	27	0
330	8	5.479038	104	19	0
330	8	6.706727	78	19	0
330	8	2.781637	143	17	0
330	6	5.118088	99	20	0
330	8	7.292787	536	23	0
330	11	4.117498	267	15	0
330	10	3.632394	335	0	2
344	1	4.000000	312	27	1
344	3	3.526095	427	19	0
344	4	3.624207	148	19	0
344	5	3.929379	76	15	0
344	6	4.812633	284	14	0
344	7	2.406725	94	18	0
344	7	4.446133	257	21	0
344	7	2.868562	322	18	0
344	9	1.015366	187	15	0
344	8	3.138771	500	17	0
344	10	2.599436	146	21	0
344	11	6.573158	89	19	0
344	12	3.363956	155	0	2
337	1	3.500000	180	18	1
337	2	7.487242	186	17	0
337	2	9.320197	204	16	0
337	4	4.482463	805	19	0
337	8	1.595823	112	18	0
337	7	2.512424	277	20	0
337	9	6.865725	329	17	0
337	8	3.520623	149	27	0
337	11	7.436658	157	14	0
337	11	3.516727	132	25	0
337	11	6.265050	367	0	2
60	1	2.500000	254	24	1
60	1	0.224226	351	17	0
60	3	0.046447	155	17	0
60	4	3.949909	226	16	0
60	4	3.050296	103	18	0
60	5	1.815435	124	22	0
60	6	2.031184	146	26	0
60	7	4.446304	109	21	0
60	6	2.052110	218	27	0
60	8	3.934654	129	26	0
60	9	0.416456	180	23	0
60	10	3.438747	236	15	0
60	11	8.202020	111	20	0
60	11	5.504321	100	16	0
60	12	3.377648	193	16	0
