1 1 2.7141326 163 15 1
1 3 1.1281371 345 7 0
1 2 8.0961895 226 12 0
1 4 1.6789813 347 16 0
1 5 2.851788 215 7 0
1 7 0.2258764 187 12 0
1 8 3.5864054 175 16 0
1 5 4.3111066 696 20 2
2 1 3.867807 186 3 1
2 2 2.7445341 161 5 0
2 1 3.5893485 218 14 0
2 3 0.8633613 284 11 0
2 1 1.2363812 245 15 0
2 3 2.1116636 153 12 0
2 4 4.2554361 282 8 0
2 5 0.1936942 146 9 0
2 6 0.1039747 153 5 0
2 7 1.0442689 185 6 0
2 6 0.3521574 421 6 0
2 5 2.8049074 114 14 0
2 7 4.6038978 239 13 0
2 9 2.4670544 481 14 0
2 9 10.8604947 172 10 0
2 10 6.3183813 195 2 0
2 10 3.408209 188 12 0
2 11 5.4338306 199 8 0
2 10 5.2645686 300 23 0
2 13 5.0813928 200 2 2
3 1 10.9552787 164 9 1
3 1 4.7733794 343 6 0
3 1 13.7920657 160 8 0
3 2 3.4452575 374 13 0
3 3 7.6302121 181 19 0
3 4 4.408202 269 19 0
3 6 4.8680489 221 11 0
3 8 2.8112329 229 11 0
3 9 6.1795577 176 9 0
3 9 14.28903 177 5 2
4 1 2.4648365 154 10 1
4 2 6.4625518 151 4 0
4 2 2.41848 188 11 0
4 2 0.0306408 129 9 0
4 2 5.363848 185 4 0
4 2 9.6269802 637 14 0
4 3 2.4459128 561 20 0
4 6 0.1494333 602 7 0
4 7 0.5048788 258 20 2
5 1 6.3974375 216 3 1
5 1 3.6963165 228 14 0
5 3 1.5050091 171 2 0
5 2 1.8184741 196 10 0
5 2 2.9116053 530 2 0
5 2 2.4251669 380 8 0
5 3 4.0350568 214 8 0
5 4 4.2008881 165 13 0
5 5 6.8980676 216 12 0
5 4 5.6532155 254 19 0
5 6 3.0613742 249 15 0
5 7 5.6584366 245 25 0
5 9 3.3439639 606 12 0
5 10 4.918709 191 16 0
5 11 1.5253887 215 8 2
6 1 4.8027615 357 13 1
6 2 4.5521741 296 7 0
6 4 0.4535578 187 8 0
6 4 4.3842122 189 14 0
6 2 3.2529964 220 2 0
6 3 2.5139402 211 14 0
6 5 5.1351161 160 12 0
6 7 0.8757178 213 8 0
6 8 1.6682796 165 8 0
6 9 1.4719259 222 6 0
6 8 1.2601797 141 17 0
6 10 1.6663307 240 10 0
6 10 8.7968706 179 20 0
6 12 5.6315923 177 4 2
7 1 4.3626288 268 8 1
7 1 2.5296817 248 23 0
7 3 6.0062962 148 8 0
7 4 4.5395476 167 6 0
7 6 0.7781268 181 8 0
7 7 3.4579141 131 9 0
7 7 9.0652421 203 3 0
7 7 3.4493149 167 12 0
7 5 3.1239633 164 5 0
7 6 2.3890926 723 10 0
7 7 4.3549186 87 15 0
7 8 2.4087549 234 8 0
7 8 7.8343686 150 13 0
7 9 7.0817653 417 20 0
7 11 4.038326 203 7 2
9 1 6.1815821 402 9 1
9 3 0.8206535 172 2 0
9 2 1.996598 275 8 0
9 3 2.206433 154 6 0
9 4 2.5889281 191 3 0
9 3 1.0011737 259 4 0
9 4 0.4436463 99 14 0
9 5 3.2357783 165 5 0
9 6 2.6254749 650 16 0
9 8 2.9432626 271 23 0
9 11 1.3397894 196 2 0
9 10 0.0197281 435 8 0
9 12 2.2321586 236 20 2
11 1 10.9050001 191 8 1
11 1 15.7276742 61 10 0
11 1 3.6998631 329 16 0
11 1 13.0021173 200 6 0
11 2 2.6339239 270 10 0
11 3 5.5373629 301 9 0
11 3 10.9680575 183 6 0
11 3 5.1178692 268 22 0
11 5 2.9445921 160 8 0
11 4 3.7390031 259 10 0
11 5 3.2257629 150 11 0
11 6 2.7847816 125 7 0
11 8 0.3318236 376 25 0
11 10 5.2504429 311 3 0
11 11 1.2548653 103 43 2
12 2 0.4468035 538 12 1
12 3 4.8766453 226 8 0
12 4 4.3184627 408 12 0
12 3 4.9124682 285 13 0
12 6 0.4504272 330 8 0
12 6 6.0236066 124 17 0
